actorId,primaryName,ratings,numVotes,count,averRating,averVote,validCount,p_index,gender,popularity
nm0000226,Will Smith,"[4.9, 6.9, 6.8, 7.0, 7.3, 7.3, 4.8, 6.1, 6.7, 6.6, 6.8, 6.0, 7.1, 8.7, 6.6, 6.4, 8.0, 7.2, 7.6, 6.1, 6.8, 4.9, 6.6, 7.1, 6.8, 6.5]","[12953, 17705, 191099, 468975, 446352, 203159, 138741, 289666, 48621, 193835, 84447, 145056, 433522, 71, 264393, 384026, 378643, 593727, 254753, 463406, 288078, 172570, 177466, 69221, 65575, 110391]",34,5.105882352941176,173425.0294117647,26,12,2,9.58187
nm0252961,Idris Elba,"[6.5, 5.7, 4.4, 6.4, 5.5, 6.2, 7.3, 4.3, 5.2, 4.9, 5.3, 5.7, 7.0, 7.4, 5.6, 6.4, 7.1, 6.3, 5.8, 5.2, 8.0, 5.7, 7.5, 7.6, 6.5]","[319, 39381, 1879, 79454, 6315, 7274, 210493, 96699, 1717, 25086, 1208, 80378, 415378, 569, 14652, 33091, 23544, 25754, 33165, 401, 334129, 2608, 219241, 28794, 33]",26,5.9038461538461515,64675.46153846153,25,6,2,9.527709
nm0000113,Sandra Bullock,"[3.9, 4.6, 5.6, 5.0, 6.6, 3.5, 6.3, 6.3, 7.1, 7.2, 5.9, 6.7, 6.0, 7.4, 5.2, 5.9, 3.8, 6.2, 7.0, 5.4, 5.7, 6.0, 6.2, 6.1, 6.0, 6.1, 7.8, 5.0, 6.8, 7.1, 5.9, 6.9, 7.7, 4.8, 6.1, 6.7, 7.8, 6.4, 6.6, 6.5]","[423, 299, 11293, 797, 136328, 2204, 6186, 20238, 2568, 284556, 52761, 78944, 7319, 111465, 4825, 21148, 65236, 61612, 100642, 28672, 6262, 37764, 154854, 46963, 16324, 93297, 384619, 57887, 123176, 15052, 66222, 88986, 248124, 35486, 16995, 253020, 654797, 175124, 145047, 24]",45,5.417777777777778,80389.75555555557,40,9,1,9.474703
nm1212722,Benedict Cumberbatch,"[6.3, 7.5, 6.9, 7.8, 7.6, 7.2, 6.0, 9.0, 6.2, 8.0, 6.4, 7.3, 6.3, 7.3, 6.5, 6.5, 8.6]","[120, 385501, 145102, 429645, 5963, 128059, 2303, 1526, 33417, 565510, 381, 340, 346, 951, 1798, 81, 1247]",26,4.669230769230769,65472.69230769231,17,2,2,9.464394
nm0000163,Dustin Hoffman,"[8.0, 4.1, 6.6, 7.9, 7.6, 7.5, 5.7, 6.5, 8.0, 7.6, 8.0, 7.5, 7.4, 6.3, 7.8, 7.4, 4.2, 8.0, 5.7, 5.9, 6.7, 6.5, 6.6, 5.7, 6.2, 6.1, 7.1, 6.7, 6.7, 7.1, 7.5, 7.6, 6.1, 7.6, 6.2, 6.7, 7.3, 5.8, 7.3, 7.1, 7.3, 6.7, 7.0]","[226478, 286, 1673, 84091, 28977, 49280, 688, 723, 104557, 12180, 83941, 49236, 6233, 2388, 109058, 84397, 9198, 416437, 10429, 10222, 200530, 18906, 96752, 3123, 17476, 88888, 71693, 12571, 31531, 81868, 207016, 199507, 32817, 347832, 38159, 18952, 208269, 16, 26, 99928, 160686, 4971, 20027]",43,6.820930232558139,75628.27906976744,43,15,2,9.457977
nm0000210,Julia Roberts,"[6.2, 7.2, 6.6, 7.0, 5.9, 6.7, 6.2, 6.6, 5.2, 5.1, 5.7, 6.8, 5.8, 7.2, 6.7, 6.3, 6.7, 7.1, 5.5, 7.3, 6.1, 7.8, 5.7, 7.1, 4.7, 6.5, 6.5, 7.3, 6.3, 5.9, 7.1, 8.1, 5.7, 5.7, 6.2, 7.2, 6.1, 5.6, 6.2, 6.5, 8.0, 5.6]","[20557, 38144, 70318, 239428, 12849, 200530, 41594, 65224, 10284, 13143, 11266, 32224, 12657, 26157, 82887, 108685, 51672, 226037, 81620, 148478, 93084, 443692, 50289, 75771, 8973, 67202, 311574, 180766, 31084, 32545, 95564, 210, 102007, 71512, 43642, 74901, 54852, 75907, 31168, 76257, 41039, 24174]",49,5.50408163265306,71019.73469387754,42,9,1,9.418409
nm0914612,Emma Watson,"[7.4, 7.8, 7.7, 7.5, 7.6, 6.1, 7.7, 8.1, 8.0, 5.8, 5.6, 7.3, 5.7, 7.1, 5.3]","[446004, 441093, 442519, 409293, 374549, 32817, 381262, 628040, 396098, 217661, 74130, 197681, 29343, 35578, 56181]",15,6.98,277483.26666666666,15,20,1,9.403018
nm0004695,Jessica Alba,"[5.7, 6.2, 3.9, 6.5, 6.6, 5.3, 5.8, 8.0, 5.4, 5.6, 6.5, 5.6, 5.9, 6.3, 5.0, 3.8, 5.7, 6.1, 6.6, 5.4, 3.5, 5.8, 5.6, 5.7, 4.7]","[283928, 35662, 2022, 67149, 7432, 39397, 67401, 695753, 47032, 78477, 129482, 227203, 22217, 18412, 15700, 45490, 102007, 30403, 175447, 3589, 17795, 10024, 65579, 57674, 6054]",25,5.647999999999999,90053.16,25,7,1,9.392891
nm0000132,Claire Danes,"[7.3, 5.5, 6.8, 5.8, 5.4, 7.1, 6.4, 4.2, 6.3, 5.5, 7.0, 6.4, 6.3, 7.2, 5.7, 7.7, 6.5, 6.8, 5.9, 7.4]","[40387, 2472, 183932, 4249, 2904, 51337, 19760, 8053, 331268, 7412, 30148, 22085, 53552, 9234, 10267, 227969, 12232, 9864, 4653, 57]",20,6.360000000000001,51591.75,20,4,1,9.361316
nm0000705,Robin Wright,"[8.1, 7.3, 5.3, 6.4, 5.0, 8.8, 6.3, 6.5, 5.8, 4.8, 5.9, 6.2, 7.0, 7.2, 7.2, 5.6, 6.8, 6.3, 6.2, 6.5, 7.5, 6.9, 6.4, 7.6, 6.5, 6.8, 6.2, 7.9]","[329181, 18153, 180, 995, 28092, 1446952, 11433, 3621, 9327, 487, 7404, 31586, 3257, 288094, 27074, 7505, 12526, 1332, 149839, 20779, 373969, 25340, 11774, 307616, 14799, 63831, 26993, 32]",28,6.607142857142858,115077.53571428572,28,14,1,9.317412
