actorId,common_movies,connection,primaryName,averRating,p_index,gender,popularity
nm0000142,"['The Dead Pool', 'Million Dollar Baby', 'None']","['Liam Neeson', 'Morgan Freeman', 'Clint Eastwood']",Clint Eastwood,6.8230769230769255,17,2,8.399286
nm0000115,"['Astro Boy', ""Captain Corelli's Mandolin"", 'Astro Boy', 'National Treasure', 'The Croods 2', 'Amos & Andrew', 'Ghost Rider: Spirit of Vengeance', 'The Ant Bully', 'Gone in Sixty Seconds', 'Knowing', 'Kick-Ass', 'Face/Off', 'Matchstick Men', 'The Rock', 'Lord of War', 'Astro Boy', 'None']","['Kristen Bell', 'Penélope Cruz', 'Freddie Highmore', 'Sean Bean', 'Emma Stone', 'Samuel L. Jackson', 'Idris Elba', 'Julia Roberts', 'Angelina Jolie', 'Rose Byrne', 'Chloë Grace Moretz', 'John Travolta', 'Sam Rockwell', 'Sean Connery', 'Jared Leto', 'Charlize Theron', 'Nicolas Cage']",Nicolas Cage,5.589024390243901,16,2,13.367778
nm0749263,"['13 Going on 30', 'Thor: Ragnarok', 'Avengers: Age of Ultron', 'Avengers: Age of Ultron', 'Spotlight', 'Shutter Island', 'Zodiac', 'None', 'Margaret', 'In the Cut', 'Avengers: Age of Ultron', 'Collateral', 'Rumor Has It...', 'Thor: Ragnarok']","['Andy Serkis', 'Tom Hiddleston', 'Chris Hemsworth', 'Robert Downey Jr.', 'Rachel McAdams', 'Leonardo DiCaprio', 'Jake Gyllenhaal', 'Mark Ruffalo', 'Matt Damon', 'Jennifer Jason Leigh', 'Chris Evans', 'Tom Cruise', 'Jennifer Aniston', 'Cate Blanchett']",Mark Ruffalo,6.263888888888888,16,2,8.208924
nm0000255,"['The Accountant', 'None', 'Armageddon', 'To the Wonder', 'Forces of Nature', 'Hollywoodland', 'Changing Lanes', 'The Accountant', 'Dogma', 'The Sum of All Fears', 'Batman v Superman: Dawn of Justice', 'Glory Daze', 'The Batman', 'Reindeer Games']","['J.K. Simmons', 'Ben Affleck', 'Bruce Willis', 'Rachel McAdams', 'Sandra Bullock', 'Diane Lane', 'Samuel L. Jackson', 'Anna Kendrick', 'Matt Damon', 'Morgan Freeman', 'Henry Cavill', 'Sam Rockwell', 'Jeremy Irons', 'Charlize Theron']",Ben Affleck,5.655263157894736,15,2,8.795425999999999
nm0000234,"['Astro Boy', 'Flarsky', 'Reindeer Games', 'Head in the Clouds', ""The Huntsman: Winter's War"", 'Astro Boy', 'A Million Ways to Die in the West', 'Snow White and the Huntsman', 'Prometheus', 'Mad Max: Fury Road', ""The Devil's Advocate"", 'Dark Places', ""The Astronaut's Wife"", 'The Italian Job', 'The Legend of Bagger Vance', 'The Legend of Bagger Vance', 'The Italian Job', 'That Thing You Do!', ""The Devil's Advocate"", 'None', 'Atomic Blonde', ""The Huntsman: Winter's War"", 'Astro Boy']","['Kristen Bell', 'Andy Serkis', 'Ben Affleck', 'Penélope Cruz', 'Chris Hemsworth', 'Freddie Highmore', 'Liam Neeson', 'Kristen Stewart', 'Michael Fassbender', 'Tom Hardy', 'Al Pacino', 'Chloë Grace Moretz', 'Johnny Depp', 'Edward Norton', 'Matt Damon', 'Will Smith', 'Mark Wahlberg', 'Tom Hanks', 'Keanu Reeves', 'Charlize Theron', 'James McAvoy', 'Jessica Chastain', 'Nicolas Cage']",Charlize Theron,6.2475,15,1,12.101441
nm0000163,"['The Meyerowitz Stories (New and Selected)', 'Billy Bathgate', ""Mr. Magorium's Wonder Emporium"", 'Chef', 'Moonlight Mile', 'Chef', 'Sphere', 'Hook', 'Kung Fu Panda 2', 'Mad City', 'The Tale of Despereaux', 'Outbreak', 'Kung Fu Panda 2', 'Rain Man', 'None', 'Family Business']","['Adam Sandler', 'Bruce Willis', 'Natalie Portman', 'Robert Downey Jr.', 'Jake Gyllenhaal', 'Scarlett Johansson', 'Samuel L. Jackson', 'Julia Roberts', 'Angelina Jolie', 'John Travolta', 'Emma Watson', 'Morgan Freeman', 'Jackie Chan', 'Tom Cruise', 'Dustin Hoffman', 'Sean Connery']",Dustin Hoffman,6.820930232558139,15,2,9.457977
nm0000705,"['State of Grace', ""She's So Lovely"", 'None', 'Unbreakable', 'The Private Lives of Pippa Lee', 'The Singing Detective', 'Unbreakable', 'White Oleander', 'The Conspirator', 'Moll Flanders', 'Moneyball', 'The Singing Detective', 'A Most Wanted Man', 'Forrest Gump', 'Beowulf']","['Gary Oldman', 'John Travolta', 'Robin Wright', 'Samuel L. Jackson', 'Winona Ryder', 'Mel Gibson', 'Bruce Willis', 'Michelle Pfeiffer', 'James McAvoy', 'Morgan Freeman', 'Brad Pitt', 'Robert Downey Jr.', 'Rachel McAdams', 'Tom Hanks', 'Angelina Jolie']",Robin Wright,6.607142857142858,14,1,9.317412
nm0000206,"['A Scanner Darkly', 'Speed', 'The Modern Ocean', 'Hardball', ""The Devil's Advocate"", ""Bram Stoker's Dracula"", 'A Scanner Darkly', 'Chain Reaction', 'Street Kings', 'None', 'The Gift', ""The Devil's Advocate""]","['Robert Downey Jr.', 'Sandra Bullock', 'Daniel Radcliffe', 'Diane Lane', 'Al Pacino', 'Gary Oldman', 'Winona Ryder', 'Morgan Freeman', 'Chris Evans', 'Keanu Reeves', 'Cate Blanchett', 'Charlize Theron']",Keanu Reeves,5.4696428571428575,14,2,11.468442
nm0000125,"['The Russia House', 'Indiana Jones and the Last Crusade', 'Family Business', 'None', 'The Rock']","['Michelle Pfeiffer', 'Harrison Ford', 'Dustin Hoffman', 'Sean Connery', 'Nicolas Cage']",Sean Connery,6.555932203389831,14,2,10.469287
nm0185819,"['Infamous', 'The Adventures of Tintin', 'None', 'Casino Royale', 'Cowboys & Aliens', 'Layer Cake']","['Sandra Bullock', 'Andy Serkis', 'Daniel Craig', 'Eva Green', 'Harrison Ford', 'Tom Hardy']",Daniel Craig,6.463333333333334,14,2,12.803627
