actorId,connection,common_movies
nm0000113,"['nm0000255', 'nm0000201', 'nm0000553', 'nm0000113', 'nm0000168', 'nm0185819', 'nm0000230', 'nm0000123', 'nm0000158', 'nm0000206', 'nm0000949']","['Forces of Nature', 'The Prince of Egypt', 'Gun Shy', 'None', 'A Time to Kill', 'Infamous', 'Demolition Man', 'Gravity', 'Extremely Loud & Incredibly Close', 'Speed', ""Ocean's 8""]"
nm0000148,"['nm0000201', 'nm0000093', 'nm1046097', 'nm0000293', 'nm0185819', 'nm0000198', 'nm0000148', 'nm0000125', 'nm0000949']","['What Lies Beneath', ""The Devil's Own"", 'Morning Glory', 'Patriot Games', 'Cowboys & Aliens', 'Air Force One', 'None', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Kingdom of the Crystal Skull']"
nm0000178,"['nm0000255', 'nm0000553', 'nm0788335', 'nm0000178', 'nm0266824', 'nm0000123', 'nm0262635', 'nm0000242', 'nm0147147', 'nm0000206']","['Hollywoodland', 'Mark Felt: The Man Who Brought Down the White House', 'Man of Steel', 'None', 'Every Secret Thing', 'The Perfect Storm', 'Fierce People', 'The Perfect Storm', 'Man of Steel', 'Hardball']"
nm0000201,"['nm2225369', 'nm0000132', 'nm0000154', 'nm0000246', 'nm0000201', 'nm0000093', 'nm0000113', 'nm0266824', 'nm0000123', 'nm0000199', 'nm0000237', 'nm0000136', 'nm0000492', 'nm0000213', 'nm0000148', 'nm0000705', 'nm0000125', 'nm1200692']","['Mother!', 'To Gillian on Her 37th Birthday', 'Tequila Sunrise', 'The Story of Us', 'None', 'Sinbad: Legend of the Seven Seas', 'The Prince of Egypt', 'I Am Sam', 'One Fine Day', 'Frankie and Johnny', 'Hairspray', 'Dark Shadows', 'A Thousand Acres', 'The Age of Innocence', 'What Lies Beneath', 'White Oleander', 'The Russia House', 'Dark Shadows']"
nm0000163,"['nm0001191', 'nm0000246', 'nm0000204', 'nm0000375', 'nm0350453', 'nm0424060', 'nm0000168', 'nm0000210', 'nm0001401', 'nm0000237', 'nm0914612', 'nm0000151', 'nm0000329', 'nm0000129', 'nm0000163', 'nm0000125']","['The Meyerowitz Stories (New and Selected)', 'Billy Bathgate', ""Mr. Magorium's Wonder Emporium"", 'Chef', 'Moonlight Mile', 'Chef', 'Sphere', 'Hook', 'Kung Fu Panda', 'Mad City', 'The Tale of Despereaux', 'Outbreak', 'Kung Fu Panda 2', 'Rain Man', 'None', 'Family Business']"
nm0005377,"['nm0000255', 'nm0447695', 'nm0000210', 'nm0000123', 'nm1631269', 'nm0005377', 'nm1567113', 'nm0000115']","['Glory Daze', 'Mr. Right', 'Confessions of a Dangerous Mind', 'Confessions of a Dangerous Mind', 'Laggies', 'None', 'Woman Walks Ahead', 'Matchstick Men']"
nm0000216,"['nm0000132', 'nm1055413', 'nm0000216', 'nm0000230', 'nm0000123', 'nm0000329']","['Terminator 3: Rise of the Machines', 'Kung Fury', 'None', 'Escape Plan', 'Batman & Robin', 'Viy 2: Journey to China']"
nm0124930,"['nm0001337', 'nm0788335', 'nm0252961', 'nm0001401', 'nm0000198', 'nm0124930', 'nm0000151', 'nm0000112', 'nm0000098', 'nm0000949', 'nm0290556']","['The Ugly Truth', 'Machine Gun Preacher', 'RocknRolla', 'Lara Croft Tomb Raider: The Cradle of Life', 'Hunter Killer', 'None', 'Olympus Has Fallen', 'Shattered', 'The Bounty Hunter', 'How to Train Your Dragon 3', ""Na Nai'a: Legend of the Dolphins""]"
nm0000129,"['nm0004851', 'nm0000093', 'nm0266824', 'nm0749263', 'nm0000151', 'nm0000129', 'nm0000163']","['Vanilla Sky', 'Interview with the Vampire: The Vampire Chronicles', 'War of the Worlds', 'Collateral', 'Oblivion', 'None', 'Rain Man']"
nm0005458,"['nm0000093', 'nm0004695', 'nm0005458', 'nm0000230', 'nm0425005', 'nm0126284', 'nm0000213', 'nm0001084', 'nm0262635', 'nm0004874', 'nm0290556']","['Snatch', 'Mechanic: Resurrection', 'None', 'The Expendables 3', 'The Fate of the Furious', 'Spy', 'Homefront', 'Ghosts of Mars', 'Cellular', 'The Fate of the Furious', 'Homefront']"
