actorId,primaryName,validCount,averRating,averVote
nm0586154,Danijela 'Nela' Mihajlovic,3,6.766666666666667,183.0
nm0500601,David Leisure,3,5.1000000000000005,183.0
nm2733017,Lucho Cáceres,6,6.283333333333332,183.0
nm0120893,Pawel Burczyk,7,5.5,183.0
nm0067927,Belita,5,6.24,183.0
nm0735773,Claudio Rodríguez,3,6.266666666666667,183.0
nm1822910,Jeannine Kaspar,3,6.0,183.0
nm3597669,Avika Gor,6,6.249999999999999,183.0
nm1202293,Gary Castro Churchwell,3,4.633333333333334,183.0
nm1328326,Toshiyuki Toyonaga,3,5.8999999999999995,183.0
nm0407282,Yevgeniya Igumnova,3,5.2,183.0
nm0616016,Liisa Kuoppamäki,8,5.4125,182.875
nm0393093,Hirotarô Honda,14,6.185714285714285,182.85714285714286
nm5537885,Bahare Afshari,5,3.12,182.8
nm1742604,Mamdouh Wafi,5,6.0,182.8
nm1655252,Joel Paul Reisig,5,4.5,182.8
nm0645202,Hideji Ôtaki,9,7.133333333333334,182.77777777777777
nm0047842,Fakrul Hasan Boiragi,4,7.050000000000001,182.75
nm0355237,Kristiina Halkola,8,5.8375,182.75
nm0303145,Jean-François Gallotte,8,6.124999999999999,182.75
nm0870109,Colleen Townsend,4,6.525,182.75
nm0077987,Ludovic Berthillot,4,6.15,182.75
nm4770367,Sae-byeok Kim,6,6.433333333333334,182.66666666666666
nm0192173,Gonzalo Cunill,3,6.066666666666666,182.66666666666666
nm2788169,Casey Manderson,3,7.433333333333334,182.66666666666666
nm0021667,Astrid Allwyn,12,6.199999999999999,182.66666666666666
nm0307739,Nadine Garner,3,5.966666666666666,182.66666666666666
nm0049890,Dick Baldwin,3,6.466666666666666,182.66666666666666
nm3084874,Chor-yiu Kwan,3,4.833333333333333,182.66666666666666
nm4958823,Balaji,3,5.733333333333333,182.66666666666666
nm0482963,Jan Lamb,11,6.163636363636363,182.63636363636363
nm3293435,Myles Cranford,5,6.58,182.6
nm0634704,Betty Pei Ti,10,5.889999999999999,182.6
nm0781291,Edie Sedgwick,11,6.418181818181818,182.54545454545453
nm3048050,Sara Canning,6,6.366666666666667,182.5
nm3210551,Pooja Jhaveri,4,5.9750000000000005,182.5
nm7630834,Malhar Thakar,4,8.1,182.5
nm0326056,Clio Goldsmith,7,5.799999999999999,182.42857142857142
nm0044228,Dionísio Azevedo,15,5.893333333333334,182.4
nm0460294,Harry Klynn,5,6.840000000000001,182.4
nm0876571,Gülsen Tuncer,10,5.909999999999999,182.4
nm0617378,Gábor Máté,21,6.623809523809525,182.38095238095238
nm0270407,Jorge Fegán,6,6.4333333333333345,182.33333333333334
nm1431816,Ryan-Iver Klann,3,3.1666666666666665,182.33333333333334
nm1029237,Yûko Ejima,3,7.2,182.33333333333334
nm0875187,Irene Tsu,3,3.9333333333333336,182.33333333333334
nm0105755,Felipe Braun,3,5.133333333333334,182.33333333333334
nm0744103,Eleonora Rossi Drago,32,6.096875000000001,182.3125
nm0083838,Roberto Bisacco,7,5.985714285714286,182.28571428571428
nm0265323,Edoardo Faieta,4,6.2,182.25
nm2162912,Golo Euler,4,5.925000000000001,182.25
nm0586264,Mariana Mihut,4,6.800000000000001,182.25
nm0440397,Mikhail Kozakov,16,6.650000000000001,182.25
nm0738887,Gerardo Romano,16,5.44375,182.25
nm1147477,James E. Foley,4,5.25,182.25
nm2583725,Kenyon Glover,4,5.175,182.25
nm0044206,Alain Azerot,4,5.25,182.25
nm1388984,Nauheed Cyrusi,14,4.857142857142857,182.21428571428572
nm1057856,Priya Arun,11,7.045454545454546,182.1818181818182
nm1231454,Baiaco,7,4.885714285714285,182.14285714285714
nm1829290,Kris Swanberg,4,5.625000000000001,182.0
nm1722996,Thezni Khan,5,5.320000000000001,182.0
nm0972490,Valerie Koch,3,6.433333333333333,182.0
nm1145232,Ragaa Al-Gidawy,19,5.000000000000001,182.0
nm2320209,Osamu Adachi,3,5.8999999999999995,182.0
nm0123936,Andrea Buscemi,3,6.066666666666666,182.0
nm0022786,Urs Althaus,5,5.220000000000001,182.0
nm0298545,Mach Fumiake,3,5.8,182.0
nm2892755,Wilma Elles,10,3.91,182.0
nm0713516,Michael Raynor,5,5.000000000000001,182.0
nm4466132,Bok van Blerk,5,6.279999999999999,182.0
nm6601652,Yûto Ikeda,3,6.2,182.0
nm2132110,Pedro Lamares,3,5.900000000000001,182.0
nm0228338,Emilio Disi,20,5.049999999999999,181.95
nm0039450,Arthur Askey,11,6.1000000000000005,181.9090909090909
nm0085063,Michelle Bjørn-Andersen,10,5.5,181.9
nm0501400,Ole Lemmeke,7,5.985714285714286,181.85714285714286
nm0443559,Morio Kazama,26,6.626923076923077,181.84615384615384
nm1271219,Malik Barnhardt,6,5.716666666666668,181.83333333333334
nm0246068,Marina Dyuzheva,10,5.790000000000001,181.8
nm0020130,Bérangère Allaux,5,6.0200000000000005,181.8
nm0272240,Sevda Ferdag,59,6.0067796610169495,181.79661016949152
nm0415926,Walter Jakob,9,7.01111111111111,181.77777777777777
nm1317171,Paula Taylor,8,5.6000000000000005,181.75
nm0112203,Rand Brooks,24,6.579166666666667,181.75
nm0128986,Darian Caine,4,4.7749999999999995,181.75
nm3008065,Beau Ballinger,4,5.3,181.75
nm1148534,Maxime Dumontier,8,6.4624999999999995,181.75
nm2390533,Walid Amini,4,6.7,181.75
nm0754669,Valeria Sabel,4,6.725,181.75
nm0246640,Julio Diaz,19,6.431578947368421,181.73684210526315
nm1196322,Rachel Maryam Sayidina,7,6.3428571428571425,181.71428571428572
nm1937112,Tom Lodewyck,7,5.2,181.71428571428572
nm0525439,Robert Lujan,3,5.7,181.66666666666666
nm0843932,Alice Szellay,3,6.866666666666667,181.66666666666666
nm0895299,Edy Vessel,6,5.666666666666667,181.66666666666666
nm0069168,Pier Giorgio Bellocchio,6,5.966666666666668,181.66666666666666
nm0041263,Jonathan Aube,6,5.55,181.66666666666666
nm0024322,Joss Ambler,6,6.233333333333333,181.66666666666666
nm0890874,Marek Vasut,12,4.916666666666666,181.66666666666666
nm0081500,Katja Bienert,9,4.744444444444444,181.66666666666666
nm1600742,Marta Lubos,5,5.619999999999999,181.6
nm0714844,Amy Redford,7,5.385714285714285,181.57142857142858
nm3825387,Qavi Khan,10,5.019999999999999,181.5
